Andrott,Androth S.O,682551,Andrott,LAKSHADWEEP,LAKSHADWEEP
Amini,Amini S.O,682552,Amini,LAKSHADWEEP,LAKSHADWEEP
Parali (iii),Agathi S.O,682553,Kavaratti,LAKSHADWEEP,LAKSHADWEEP
Parali (i),Agathi S.O,682553,Kavaratti,LAKSHADWEEP,LAKSHADWEEP
Agatti,Agathi S.O,682553,Kavaratti,LAKSHADWEEP,LAKSHADWEEP
Bangaram,Agathi S.O,682553,Kavaratti,LAKSHADWEEP,LAKSHADWEEP
Parali (ii),Agathi S.O,682553,Kavaratti,LAKSHADWEEP,LAKSHADWEEP
Tinnakara,Agathi S.O,682553,Kavaratti,LAKSHADWEEP,LAKSHADWEEP
Kalpitti,Agathi S.O,682553,Kavaratti,LAKSHADWEEP,LAKSHADWEEP
Chetlat,Chetlat S.O,682554,Amini,LAKSHADWEEP,LAKSHADWEEP
Bitra,Bithra B.O,682554,Amini,LAKSHADWEEP,LAKSHADWEEP
Kavaratti,Kavaratti S.O,682555,Kavaratti,LAKSHADWEEP,LAKSHADWEEP
Suheli Valiyakara,Kavaratti S.O,682555,Kavaratti,LAKSHADWEEP,LAKSHADWEEP
Suheli Cheriyakara,Kavaratti S.O,682555,Kavaratti,LAKSHADWEEP,LAKSHADWEEP
Kadmat,Kadamat S.O,682556,Amini,LAKSHADWEEP,LAKSHADWEEP
Cheriyam,Kalpeni S.O,682557,Andrott,LAKSHADWEEP,LAKSHADWEEP
Kalpeni,Kalpeni S.O,682557,Andrott,LAKSHADWEEP,LAKSHADWEEP
Pitti (i),Kalpeni S.O,682557,Andrott,LAKSHADWEEP,LAKSHADWEEP
Pitti (ii),Kalpeni S.O,682557,Andrott,LAKSHADWEEP,LAKSHADWEEP
Thilakkam (ii),Kalpeni S.O,682557,Andrott,LAKSHADWEEP,LAKSHADWEEP
Kodithala,Kalpeni S.O,682557,Andrott,LAKSHADWEEP,LAKSHADWEEP
Thilakkam (i),Kalpeni S.O,682557,Andrott,LAKSHADWEEP,LAKSHADWEEP
Thilakkam (iii),Kalpeni S.O,682557,Andrott,LAKSHADWEEP,LAKSHADWEEP
Kiltan,Kiltan S.O,682558,Amini,LAKSHADWEEP,LAKSHADWEEP
Minicoy,Minicoy S.O,682559,Minicoy,LAKSHADWEEP,LAKSHADWEEP
Viringili,Minicoy S.O,682559,Minicoy,LAKSHADWEEP,LAKSHADWEEP
